trial_number,value,state,max_depth,min_child_weight,gamma,learning_rate,n_estimators,subsample,colsample_bytree,colsample_bylevel,reg_alpha,reg_lambda
0,13.050517590242482,COMPLETE,5,10,3.6599697090570253,0.07661100707771368,89,0.5779972601681014,0.5290418060840998,0.9330880728874675,6.011150117432088,7.080725777960454
1,15.052091079336058,COMPLETE,3,10,4.162213204002109,0.020589728197687916,95,0.5917022549267169,0.6521211214797689,0.762378215816119,4.319450186421157,2.9122914019804194
2,12.850530057062043,COMPLETE,7,2,1.4607232426760908,0.03476649150592621,164,0.8925879806965068,0.5998368910791798,0.7571172192068059,5.924145688620425,0.46450412719997725
3,13.29578733870264,COMPLETE,7,2,0.3252579649263976,0.2521267904777921,292,0.9041986740582306,0.6523068845866853,0.5488360570031919,6.842330265121569,4.4015249373960135
4,13.00075669304063,COMPLETE,3,5,0.17194260557609198,0.22038218939289875,114,0.831261142176991,0.6558555380447055,0.7600340105889054,5.4671027934327965,1.8485445552552704
5,13.24898359767485,COMPLETE,10,8,4.697494707820946,0.20978213384576816,200,0.9609371175115584,0.5442462510259598,0.5979914312095727,0.45227288910538066,3.2533033076326436
6,12.96254336953372,COMPLETE,6,3,4.143687545759647,0.03364867144187954,120,0.7713480415791243,0.5704621124873813,0.9010984903770198,0.7455064367977082,9.868869366005173
7,13.734593278941125,COMPLETE,9,2,0.027610585618011996,0.1601531217136121,227,0.8645035840204937,0.8856351733429728,0.5370223258670452,3.5846572854427263,1.1586905952512971
8,14.766722975204555,COMPLETE,9,7,1.654490124263246,0.012413189635294229,128,0.6625916610133735,0.864803089169032,0.8187787356776066,8.872127425763265,4.722149251619493
9,12.96349641854485,COMPLETE,3,8,3.803925243084487,0.06746437142284309,243,0.7468977981821954,0.7613664146909971,0.7137705091792748,0.2541912674409519,1.0789142699330445
10,12.808913251517797,COMPLETE,7,4,2.1498859925243314,0.03253425182484385,166,0.9538323976412588,0.97988537297271,0.6626799989856424,9.469618763901492,0.12311169564937519
11,12.812660035979997,COMPLETE,7,4,2.016060507151569,0.035257686564089424,168,0.9802977961019168,0.9954751604555587,0.6587161978839844,9.486094694745416,0.03583556864803289
